,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
485,2772201935.0,3.05,-1.71,1.34,87.0,13.0,467.0,103.4,Trevor Ariza,2017,2017
486,2772201935.0,3.05,-1.71,1.34,87.0,13.0,467.0,103.4,James Harden,2017,2017
485,2039521626157.0,3.67,-1.83,1.84,55.0,8.0,474.0,103.42,Andrew Wiggins,2017,2017
486,2039521626157.0,3.67,-1.83,1.84,55.0,8.0,474.0,103.42,Karl-Anthony Towns,2017,2017
485,201566203500.0,2.94,-0.34,2.6,28.0,13.0,309.0,103.33,Russell Westbrook,2017,2017
486,201566203500.0,2.94,-0.34,2.6,28.0,13.0,309.0,103.33,Steven Adams,2017,2017
485,203476203952.0,2.05,-0.68,1.37,86.0,31.0,360.0,103.32,Andrew Wiggins,2017,2017
486,203476203952.0,2.05,-0.68,1.37,86.0,31.0,360.0,103.32,Gorgui Dieng,2017,2017
486,202322203078.0,3.7,-0.09,3.61,15.0,7.0,258.0,103.36,Bradley Beal,2017,2017
485,202322203078.0,3.7,-0.09,3.61,15.0,7.0,258.0,103.36,John Wall,2017,2017
485,201937203952.0,1.77,-1.18,0.59,152.0,41.0,439.0,103.36,Andrew Wiggins,2017,2017
486,201937203952.0,1.77,-1.18,0.59,152.0,41.0,439.0,103.36,Ricky Rubio,2017,2017
485,202322203490.0,1.81,0.2,2.01,47.0,38.0,191.0,103.34,Otto Porter Jr.,2017,2017
486,202322203490.0,1.81,0.2,2.01,47.0,38.0,191.0,103.34,John Wall,2017,2017
485,101162202322.0,2.09,-0.67,1.43,79.0,31.0,357.0,103.34,John Wall,2017,2017
486,101162202322.0,2.09,-0.67,1.43,79.0,31.0,357.0,103.34,Marcin Gortat,2017,2017
486,201566203460.0,2.45,0.82,3.27,16.0,26.0,96.0,103.32,Russell Westbrook,2017,2017
485,201566203460.0,2.45,0.82,3.27,16.0,26.0,96.0,103.32,Andre Roberson,2017,2017
